"gene" "miRNA"
"80" "FLT3" "MIMAT0000078,MIMAT0000418,MIMAT0003150,MIMAT0000069,MIMAT0002820,MIMAT0000437,MIMAT0002819,MIMAT0000091,MIMAT0000459,MIMAT0000423,MIMAT0003885,MIMAT0005796"
"81" "DUSP22" "MIMAT0000086,MIMAT0000062,MIMAT0000063"
"82" "ILK" "MIMAT0000243,MIMAT0000062"
"83" "HIF1AN" "MIMAT0000243,MIMAT0000063"
"84" "FKBP14" "MIMAT0003150,MIMAT0000421,MIMAT0000437,MIMAT0000077,MIMAT0000419,MIMAT0000070,MIMAT0000096,MIMAT0000272"
"85" "FHAD1" "MIMAT0000100,MIMAT0000083,MIMAT0000086,MIMAT0000681,MIMAT0002809,MIMAT0000091,MIMAT0000092,MIMAT0000250,MIMAT0000416"
"86" "TCTN2" "MIMAT0000068,MIMAT0000421,MIMAT0003301,MIMAT0000086,MIMAT0000259,MIMAT0000419,MIMAT0000460,MIMAT0000435,MIMAT0000074,MIMAT0000091,MIMAT0000104,MIMAT0000423"
"87" "HIST4H4" "MIMAT0003301"
"88" "BPI" "MIMAT0000078,MIMAT0000081,MIMAT0000100,MIMAT0003301,MIMAT0000086,MIMAT0000063"
"89" "ANKHD1-EIF4EBP3" "MIMAT0000083,MIMAT0000424"
"90" "CYP2J2" "MIMAT0000078,MIMAT0000080,MIMAT0000068,MIMAT0000069,MIMAT0000101,MIMAT0000417,MIMAT0000063,MIMAT0000272"
"91" "DPY19L1" "MIMAT0003150,MIMAT0000420,MIMAT0000419,MIMAT0000245,MIMAT0000070"
"92" "DPCD" "MIMAT0000068,MIMAT0000101,MIMAT0000082,MIMAT0002819,MIMAT0000062,MIMAT0000414,MIMAT0000063"
"93" "RPL4" "MIMAT0000077,MIMAT0000062"
"94" "MIR17HG" "MIMAT0000078,MIMAT0000426,MIMAT0022726,MIMAT0000257,MIMAT0003393"
"95" "CDKL3" "MIMAT0000082,MIMAT0000083,MIMAT0000460,MIMAT0000680"
"96" "EXD3" "MIMAT0000421,MIMAT0000424"
"97" "GGT8P" "MIMAT0000100,MIMAT0000681"
"98" "KLF9" "MIMAT0000680,MIMAT0000070,MIMAT0000063,MIMAT0000096,MIMAT0000278,MIMAT0000066,MIMAT0000257,MIMAT0003393"
"99" "TNPO3" "MIMAT0000420,MIMAT0000070"
"100" "KIR3DL2" "MIMAT0000080,MIMAT0000255,MIMAT0000083,MIMAT0000222,MIMAT0000267"
"101" "ARL5C" "MIMAT0004784"
"102" "UGT2A1" "MIMAT0000418,MIMAT0000443,MIMAT0000093,MIMAT0000083,MIMAT0000763,MIMAT0000099,MIMAT0000259,MIMAT0000243,MIMAT0000680,MIMAT0000423,MIMAT0000318,MIMAT0000063,MIMAT0000065,MIMAT0000096,MIMAT0000415,MIMAT0003885,MIMAT0000067,MIMAT0000066"
"103" "CDKAL1" "MIMAT0000080,MIMAT0000421,MIMAT0000100,MIMAT0000437,MIMAT0002809"
"104" "SLC26A7" "MIMAT0000081,MIMAT0002820,MIMAT0000093,MIMAT0000082,MIMAT0000728,MIMAT0000763,MIMAT0000461,MIMAT0000417,MIMAT0000646,MIMAT0000692,MIMAT0000092,MIMAT0000104,MIMAT0000097,MIMAT0000075,MIMAT0000318"
"105" "BMP10" "MIMAT0000255,MIMAT0000763,MIMAT0000435,MIMAT0000424"
"106" "CARD6" "MIMAT0000081,MIMAT0000255,MIMAT0000418,MIMAT0000090,MIMAT0000082,MIMAT0000763,MIMAT0000086,MIMAT0000250"
"107" "HIST1H3E" "MIMAT0000077,MIMAT0005796"
"108" "RRP15" "MIMAT0000080,MIMAT0000418,MIMAT0000069,MIMAT0000437,MIMAT0000419,MIMAT0000646,MIMAT0000064,MIMAT0000415"
"109" "AEBP2" "MIMAT0000068,MIMAT0000421,MIMAT0000084"
"110" "ENDOG" "MIMAT0000069,MIMAT0000617"
"111" "RHBDF1" "MIMAT0000691,MIMAT0000099,MIMAT0000419,MIMAT0000243,MIMAT0000254"
"112" "GFI1" "MIMAT0000083,MIMAT0000077,MIMAT0000419,MIMAT0000440"
"113" "GGCX" "MIMAT0000080,MIMAT0000434,MIMAT0000680"
"114" "WIPF1" "MIMAT0000418,MIMAT0000443,MIMAT0000421,MIMAT0000093,MIMAT0000100,MIMAT0000460,MIMAT0000681,MIMAT0000414"
"115" "TBL3" "MIMAT0000424"
