Modulator	Target	miRNA	CMI	p.value
ENSG00000110427	ENSG00000114529	MIMAT0000077	0.05967	0.107
ENSG00000110427	ENSG00000114529	MIMAT0000421	0.112	0.944
ENSG00000123095	ENSG00000110427	MIMAT0000090	0.0445	0.022
ENSG00000123095	ENSG00000110427	MIMAT0000243	0.0727	0.336
ENSG00000123095	ENSG00000110427	MIMAT0000421	0.10062	0.409
ENSG00000123095	ENSG00000110427	MIMAT0000459	0.03803	0.008
ENSG00000123095	ENSG00000110427	MIMAT0000460	0.11394	0.301
ENSG00000123095	ENSG00000110427	MIMAT0002820	0.04691	0.015
ENSG00000110427	ENSG00000123095	MIMAT0000090	0.04677	0.038
ENSG00000110427	ENSG00000123095	MIMAT0000243	0.07554	0.237
ENSG00000110427	ENSG00000123095	MIMAT0000421	0.10732	0.277
ENSG00000110427	ENSG00000123095	MIMAT0000459	0.03731	0.014
ENSG00000110427	ENSG00000123095	MIMAT0000460	0.0795	0.694
ENSG00000110427	ENSG00000123095	MIMAT0002820	0.05574	0.003
ENSG00000135631	ENSG00000110427	MIMAT0000068	0.02496	0.07
ENSG00000135631	ENSG00000110427	MIMAT0000077	0.0127	0.288
ENSG00000135631	ENSG00000110427	MIMAT0000421	0.07484	0.764
ENSG00000110427	ENSG00000135631	MIMAT0000068	0.02158	0.137
ENSG00000110427	ENSG00000135631	MIMAT0000077	0.02022	0.565
ENSG00000110427	ENSG00000135631	MIMAT0000421	0.09331	0.649
ENSG00000151746	ENSG00000110427	MIMAT0000068	0.03491	0.014
ENSG00000151746	ENSG00000110427	MIMAT0000243	0.0502	0.758
ENSG00000151746	ENSG00000110427	MIMAT0000414	0.01511	0.185
ENSG00000151746	ENSG00000110427	MIMAT0000421	0.11143	0.253
ENSG00000151746	ENSG00000110427	MIMAT0000423	0.02195	0.158
ENSG00000151746	ENSG00000110427	MIMAT0000460	0.05486	0.988
ENSG00000110427	ENSG00000151746	MIMAT0000068	0.01738	0.235
ENSG00000110427	ENSG00000151746	MIMAT0000243	0.06025	0.701
ENSG00000110427	ENSG00000151746	MIMAT0000414	0.02061	0.112
ENSG00000110427	ENSG00000151746	MIMAT0000421	0.12612	0.332
ENSG00000110427	ENSG00000151746	MIMAT0000423	0.0526	0.309
ENSG00000110427	ENSG00000151746	MIMAT0000460	0.07527	0.902
ENSG00000163596	ENSG00000110427	MIMAT0000077	-0.00059	1
ENSG00000163596	ENSG00000110427	MIMAT0000243	0.04085	0.908
ENSG00000163596	ENSG00000110427	MIMAT0000252	0.02142	0.033
ENSG00000163596	ENSG00000110427	MIMAT0000421	0.06563	0.878
ENSG00000163596	ENSG00000110427	MIMAT0000460	0.03885	1
ENSG00000163596	ENSG00000110427	MIMAT0002809	0.00501	0.355
ENSG00000163596	ENSG00000110427	MIMAT0003301	0.01106	0.278
ENSG00000110427	ENSG00000163596	MIMAT0000077	0.01518	1
ENSG00000110427	ENSG00000163596	MIMAT0000243	0.02759	0.697
ENSG00000110427	ENSG00000163596	MIMAT0000252	0.02919	0.059
ENSG00000110427	ENSG00000163596	MIMAT0000421	0.06564	1
ENSG00000110427	ENSG00000163596	MIMAT0000460	0.00766	1
ENSG00000110427	ENSG00000163596	MIMAT0002809	0.01094	0.137
ENSG00000110427	ENSG00000163596	MIMAT0003301	0.0217	0.279
ENSG00000100767	ENSG00000114529	MIMAT0000068	0.01827	0.262
ENSG00000100767	ENSG00000114529	MIMAT0000077	0.02703	0.717
ENSG00000100767	ENSG00000114529	MIMAT0000421	0.08373	0.997
ENSG00000114529	ENSG00000100767	MIMAT0000068	0.00814	0.895
ENSG00000114529	ENSG00000100767	MIMAT0000077	0.00734	1
ENSG00000114529	ENSG00000100767	MIMAT0000421	0.05392	1
ENSG00000106348	ENSG00000114529	MIMAT0000077	0.05749	0.161
ENSG00000106348	ENSG00000114529	MIMAT0000104	0.0642	0.269
ENSG00000106348	ENSG00000114529	MIMAT0000421	0.09956	0.983
ENSG00000114529	ENSG00000106348	MIMAT0000077	0.0369	0.163
ENSG00000114529	ENSG00000106348	MIMAT0000104	0.00754	1
ENSG00000114529	ENSG00000106348	MIMAT0000421	0.07082	0.988
ENSG00000135631	ENSG00000114529	MIMAT0000068	0.05338	0.005
ENSG00000135631	ENSG00000114529	MIMAT0000077	0.04756	0.321
ENSG00000135631	ENSG00000114529	MIMAT0000104	0.10211	0.011
ENSG00000135631	ENSG00000114529	MIMAT0000421	0.07778	1
ENSG00000135631	ENSG00000114529	MIMAT0002819	0.0465	0.011
ENSG00000135631	ENSG00000114529	MIMAT0003150	0.03412	0.208
ENSG00000114529	ENSG00000135631	MIMAT0000068	0.04515	0.01
ENSG00000114529	ENSG00000135631	MIMAT0000077	0.02528	0.357
ENSG00000114529	ENSG00000135631	MIMAT0000104	0.07161	0.017
ENSG00000114529	ENSG00000135631	MIMAT0000421	0.02062	1
ENSG00000114529	ENSG00000135631	MIMAT0002819	0.04664	0.015
ENSG00000114529	ENSG00000135631	MIMAT0003150	0.02275	0.276
ENSG00000100767	ENSG00000123095	MIMAT0000255	0.02005	0.123
ENSG00000100767	ENSG00000123095	MIMAT0000419	0.02287	0.042
ENSG00000100767	ENSG00000123095	MIMAT0000421	0.0546	1
ENSG00000100767	ENSG00000123095	MIMAT0004958	0.08226	0.001
ENSG00000123095	ENSG00000100767	MIMAT0000255	0.04858	0.152
ENSG00000123095	ENSG00000100767	MIMAT0000419	0.0248	0.072
ENSG00000123095	ENSG00000100767	MIMAT0000421	0.09392	0.958
ENSG00000123095	ENSG00000100767	MIMAT0004958	0.07316	0.001
ENSG00000106348	ENSG00000123095	MIMAT0000243	0.0332	0.996
ENSG00000106348	ENSG00000123095	MIMAT0000419	0.02604	0.037
ENSG00000106348	ENSG00000123095	MIMAT0000421	0.06905	0.935
ENSG00000123095	ENSG00000106348	MIMAT0000243	0.06252	0.996
ENSG00000123095	ENSG00000106348	MIMAT0000419	0.03156	0.062
ENSG00000123095	ENSG00000106348	MIMAT0000421	0.09577	0.666
ENSG00000114529	ENSG00000123095	MIMAT0000421	0.07248	0.917
ENSG00000114529	ENSG00000123095	MIMAT0002819	0.01665	0.537
ENSG00000123095	ENSG00000114529	MIMAT0000421	0.13149	0.782
ENSG00000123095	ENSG00000114529	MIMAT0002819	0.01376	0.259
ENSG00000135631	ENSG00000123095	MIMAT0000421	0.0881	0.661
ENSG00000135631	ENSG00000123095	MIMAT0002819	0.04252	0.063
ENSG00000123095	ENSG00000135631	MIMAT0000421	0.10683	0.392
ENSG00000123095	ENSG00000135631	MIMAT0002819	0.03568	0.037
ENSG00000100767	ENSG00000151746	MIMAT0000068	0.07198	0.001
ENSG00000100767	ENSG00000151746	MIMAT0000250	0.04626	0.46
ENSG00000100767	ENSG00000151746	MIMAT0000255	0.01549	0.645
ENSG00000100767	ENSG00000151746	MIMAT0000276	0.02688	0.334
ENSG00000100767	ENSG00000151746	MIMAT0000421	0.09387	0.853
ENSG00000151746	ENSG00000100767	MIMAT0000068	0.08051	0.001
ENSG00000151746	ENSG00000100767	MIMAT0000250	0.01841	0.492
ENSG00000151746	ENSG00000100767	MIMAT0000255	0.01436	1
ENSG00000151746	ENSG00000100767	MIMAT0000276	0.04028	0.184
ENSG00000151746	ENSG00000100767	MIMAT0000421	0.12787	0.596
ENSG00000106348	ENSG00000151746	MIMAT0000104	0.02586	0.183
ENSG00000106348	ENSG00000151746	MIMAT0000243	0.07105	0.553
ENSG00000106348	ENSG00000151746	MIMAT0000421	0.09579	0.839
ENSG00000151746	ENSG00000106348	MIMAT0000104	0.01964	0.403
ENSG00000151746	ENSG00000106348	MIMAT0000243	0.09277	0.674
ENSG00000151746	ENSG00000106348	MIMAT0000421	0.09517	0.668
ENSG00000106665	ENSG00000151746	MIMAT0000104	0.0367	0.066
ENSG00000106665	ENSG00000151746	MIMAT0000421	0.04872	1
ENSG00000151746	ENSG00000106665	MIMAT0000104	0.03948	0.064
ENSG00000151746	ENSG00000106665	MIMAT0000421	0.05943	1
ENSG00000114529	ENSG00000151746	MIMAT0000068	0.08246	0.001
ENSG00000114529	ENSG00000151746	MIMAT0000104	0.02421	0.217
ENSG00000114529	ENSG00000151746	MIMAT0000421	0.03976	1
ENSG00000114529	ENSG00000151746	MIMAT0003150	0.04548	0.203
ENSG00000151746	ENSG00000114529	MIMAT0000068	0.09712	0.001
ENSG00000151746	ENSG00000114529	MIMAT0000104	0.06307	0.302
ENSG00000151746	ENSG00000114529	MIMAT0000421	0.09601	0.981
ENSG00000151746	ENSG00000114529	MIMAT0003150	0.02757	0.338
ENSG00000123095	ENSG00000151746	MIMAT0000243	0.08524	0.306
ENSG00000123095	ENSG00000151746	MIMAT0000255	0.03125	0.193
ENSG00000123095	ENSG00000151746	MIMAT0000421	0.11579	0.523
ENSG00000123095	ENSG00000151746	MIMAT0000460	0.08179	0.851
ENSG00000151746	ENSG00000123095	MIMAT0000243	0.07186	0.254
ENSG00000151746	ENSG00000123095	MIMAT0000255	0.01337	0.215
ENSG00000151746	ENSG00000123095	MIMAT0000421	0.08003	0.834
ENSG00000151746	ENSG00000123095	MIMAT0000460	0.0647	0.86
ENSG00000135631	ENSG00000151746	MIMAT0000068	0.03853	0.036
ENSG00000135631	ENSG00000151746	MIMAT0000104	0.03353	0.093
ENSG00000135631	ENSG00000151746	MIMAT0000250	0.05318	0.332
ENSG00000135631	ENSG00000151746	MIMAT0000421	0.07198	0.982
ENSG00000135631	ENSG00000151746	MIMAT0000681	0.04214	0.011
ENSG00000135631	ENSG00000151746	MIMAT0003150	0.02692	0.995
ENSG00000151746	ENSG00000135631	MIMAT0000068	0.03632	0.014
ENSG00000151746	ENSG00000135631	MIMAT0000104	0.06394	0.038
ENSG00000151746	ENSG00000135631	MIMAT0000250	0.04001	0.128
ENSG00000151746	ENSG00000135631	MIMAT0000421	0.06539	0.984
ENSG00000151746	ENSG00000135631	MIMAT0000681	0.04292	0.007
ENSG00000151746	ENSG00000135631	MIMAT0003150	0.01957	0.348
ENSG00000163596	ENSG00000151746	MIMAT0000104	0.03845	0.063
ENSG00000163596	ENSG00000151746	MIMAT0000243	0.06532	0.654
ENSG00000163596	ENSG00000151746	MIMAT0000255	0.00736	1
ENSG00000163596	ENSG00000151746	MIMAT0000421	0.07504	0.98
ENSG00000163596	ENSG00000151746	MIMAT0000460	0.1239	0.27
ENSG00000151746	ENSG00000163596	MIMAT0000104	0.02891	0.159
ENSG00000151746	ENSG00000163596	MIMAT0000243	0.04073	0.457
ENSG00000151746	ENSG00000163596	MIMAT0000255	0.03335	0.545
ENSG00000151746	ENSG00000163596	MIMAT0000421	0.07928	0.987
ENSG00000151746	ENSG00000163596	MIMAT0000460	0.07793	0.051
ENSG00000100767	ENSG00000163596	MIMAT0000077	0.0554	0.024
ENSG00000100767	ENSG00000163596	MIMAT0000255	0.0454	0.245
ENSG00000100767	ENSG00000163596	MIMAT0000421	0.07523	0.989
ENSG00000100767	ENSG00000163596	MIMAT0003301	0.0326	0.114
ENSG00000163596	ENSG00000100767	MIMAT0000077	0.06614	0.002
ENSG00000163596	ENSG00000100767	MIMAT0000255	0.02941	0.575
ENSG00000163596	ENSG00000100767	MIMAT0000421	0.08333	0.99
ENSG00000163596	ENSG00000100767	MIMAT0003301	0.02866	0.046
ENSG00000106348	ENSG00000163596	MIMAT0000077	0.03857	0.159
ENSG00000106348	ENSG00000163596	MIMAT0000104	0.02994	0.128
ENSG00000106348	ENSG00000163596	MIMAT0000243	0.05354	0.214
ENSG00000106348	ENSG00000163596	MIMAT0000421	0.08204	0.984
ENSG00000163596	ENSG00000106348	MIMAT0000077	0.02964	0.321
ENSG00000163596	ENSG00000106348	MIMAT0000104	0.03687	0.068
ENSG00000163596	ENSG00000106348	MIMAT0000243	0.10448	0.458
ENSG00000163596	ENSG00000106348	MIMAT0000421	0.04976	1
ENSG00000106665	ENSG00000163596	MIMAT0000077	0.03022	0.337
ENSG00000106665	ENSG00000163596	MIMAT0000104	0.02295	0.228
ENSG00000106665	ENSG00000163596	MIMAT0000421	0.07776	0.988
ENSG00000163596	ENSG00000106665	MIMAT0000077	0.00514	1
ENSG00000163596	ENSG00000106665	MIMAT0000104	0.01294	0.474
ENSG00000163596	ENSG00000106665	MIMAT0000421	0.06672	1
ENSG00000114529	ENSG00000163596	MIMAT0000077	0.03656	0.207
ENSG00000114529	ENSG00000163596	MIMAT0000086	0.02115	0.144
ENSG00000114529	ENSG00000163596	MIMAT0000104	0.02111	0.284
ENSG00000114529	ENSG00000163596	MIMAT0000421	0.06835	0.994
ENSG00000114529	ENSG00000163596	MIMAT0002819	0.04563	0.611
ENSG00000163596	ENSG00000114529	MIMAT0000077	0.0378	0.504
ENSG00000163596	ENSG00000114529	MIMAT0000086	0.02291	0.048
ENSG00000163596	ENSG00000114529	MIMAT0000104	0.08044	0.099
